city,variable,lead_days,model,mae,rmse,bias,n
Dehradun,temperature,1,gem,0.8678,1.176,-0.1543,1008
Dehradun,temperature,1,gfs,1.1483,1.5795,-0.308,1008
Dehradun,temperature,1,icon,0.9472,1.2205,-0.4589,1008
Dehradun,temperature,2,ecmwf,1.001,1.2639,0.62,1008
Dehradun,temperature,2,gem,1.0266,1.3615,-0.0409,1008
Dehradun,temperature,2,gfs,1.3003,1.8014,-0.2211,1008
Dehradun,temperature,2,icon,0.9163,1.155,-0.2421,1008
Dehradun,temperature,3,ecmwf,1.041,1.3458,0.5791,1008
Dehradun,temperature,3,gem,1.0683,1.4585,-0.0524,1008
Dehradun,temperature,3,gfs,1.2355,1.6922,0.127,1008
Dehradun,temperature,3,icon,0.9835,1.2406,-0.3681,1008
Dehradun,wind_speed,1,ecmwf,1.897,2.4577,0.7817,1008
Dehradun,wind_speed,1,gem,2.2584,2.8251,-0.4245,1008
Dehradun,wind_speed,1,gfs,2.7593,3.2821,-1.573,1008
Dehradun,wind_speed,1,icon,1.881,2.417,0.1988,1008
Dehradun,wind_speed,2,ecmwf,1.9514,2.5227,0.7038,1008
Dehradun,wind_speed,2,gem,2.2723,2.8591,-0.2279,1008
